id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
163;162;Xerox;"133,6";150;017 ;-8.2%;-$477.0 ;-200.6%;018 ;007 
164;163;Marriott International;"226,5";195;017 ;17.9%;$780.0 ;-9.2%;024 ;036 
165;164;Paccar;23;147;017 ;-10.9%;$521.7 ;-67.5%;021 ;024 
166;165;General Mills;39;161;017 ;-6.1%;"$1,697.4 ";39.0%;022 ;034 
167;166;PNC Financial Services Group;"50,683";171;016 ;0.9%;"$3,903.0 ";-4.9%;366 ;058 
168;167;American Electric Power;"17,634";165;016 ;-3.1%;$610.9 ;-70.2%;063 ;033 
169;168;Icahn Enterprises;"90,98";184;016 ;7.0%;"-$1,128.0 ";-;033 ;008 
170;169;Nucor;"23,9";170;016 ;-1.4%;$796.3 ;122.6%;015 ;019 
171;170;NextEra Energy;"14,7";163;016 ;-7.6%;"$2,912.0 ";5.8%;090 ;060 
172;171;Performance Food Group;13;185;016 ;5.5%;$68.3 ;20.9%;003 ;002 
173;172;PBF Energy;"3,165";217;016 ;21.3%;$170.8 ;16.7%;008 ;002 
174;173;Halliburton;50;117;016 ;-32.8%;"-$5,763.0 ";-;027 ;043 
175;174;CarMax;"22,429";191;016 ;6.4%;$623.4 ;4.4%;014 ;011 
176;175;Freeport-McMoRan;30;175;016 ;-0.6%;"-$4,154.0 ";-;037 ;019 
177;176;Whole Foods Market;"73,515";181;016 ;2.2%;$507.0 ;-5.4%;006 ;009 
178;177;Bank of New York Mellon Corp.;52;179;016 ;1.0%;"$3,547.0 ";12.3%;333 ;049 
179;178;Gap;135;177;016 ;-1.8%;$676.0 ;-26.5%;008 ;010 
180;179;Omnicom Group;"78,5";186;015 ;1.9%;"$1,148.6 ";5.0%;023 ;020 
181;180;Genuine Parts;40;183;015 ;0.4%;$687.2 ;-2.6%;009 ;014 
182;181;DaVita HealthCare Partners;"70,3";200;015 ;6.9%;$879.9 ;226.2%;019 ;013 
183;182;Colgate-Palmolive;"36,7";174;015 ;-5.2%;"$2,441.0 ";76.4%;012 ;065 
184;183;PPG Industries;47;182;015 ;-1.0%;$877.0 ;-37.6%;016 ;027 
185;184;Goodyear Tire & Rubber;66;169;015 ;-7.8%;"$1,264.0 ";311.7%;017 ;009 
186;185;Synchrony Financial;15;;015 ;11.0%;"$2,251.0 ";1.7%;090 ;028 
187;186;DISH Network;16;187;015 ;0.2%;"$1,449.9 ";94.1%;028 ;030 
188;187;Visa;"14,2";204;015 ;8.7%;"$5,991.0 ";-5.3%;064 ;206 
189;188;Nordstrom;"72,5";197;015 ;2.2%;$354.0 ;-41.0%;008 ;008 
190;189;INTL FCStone;"1,464";83;015 ;-57.5%;$54.7 ;-1.8%;006 ;708 
191;190;WestRock;39;251;015 ;29.2%;-$396.3 ;-178.2%;023 ;013 
192;191;XPO Logistics;87;353;015 ;91.8%;$69.0 ;-;012 ;005 
193;192;Aramark;"217,25";199;014 ;0.6%;$287.8 ;22.0%;011 ;009 
194;193;CBS;"18,41";203;014 ;3.6%;"$1,261.0 ";-10.8%;024 ;028 
