id;date;price
771;01.04.2014;1299.175
772;01.05.2014;1288.913
773;01.06.2014;1277.857
774;01.07.2014;1312.989
775;01.08.2014;1297.005
776;01.09.2014;1241.33
777;01.10.2014;1223.565
778;01.11.2014;1176.413
779;01.12.2014;1200.44
780;01.01.2015;1249.333
781;01.02.2015;1231.1
782;01.03.2015;1180.636
783;01.04.2015;1198.253
784;01.05.2015;1197.684
785;01.06.2015;1182.248
786;01.07.2015;1131.58
787;01.08.2015;1117.525
788;01.09.2015;1124.905
789;01.10.2015;1157.123
790;01.11.2015;1088.388
791;01.12.2015;1068.317
792;01.01.2016;1095.655
793;01.02.2016;1194.893
794;01.03.2016;1246.312
795;01.04.2016;1241.452
796;01.05.2016;1259.755
797;01.06.2016;1273.58
798;01.07.2016;1337.429
799;01.08.2016;1340.861
800;01.09.2016;1326.618
801;01.10.2016;1268.929
802;01.11.2016;1240.293
803;01.12.2016;1152.165
804;01.01.2017;1192.648
805;01.02.2017;1233.39
806;01.03.2017;1231.063
807;01.04.2017;1267.15
808;01.05.2017;1245.25
809;01.06.2017;1261.277
810;01.07.2017;1235.1
811;01.08.2017;1281.72
812;01.09.2017;1317.045
813;01.10.2017;1280.677
814;01.11.2017;1283.189
815;01.12.2017;1265.674
816;01.01.2018;1332.809
817;01.02.2018;1333.775
