id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue,,,
220;219;Ross Stores;786;237;12867;7.8%;1,117.7 ;9.5%;5,309;25814,
221;220;L Brands;591;234;12574;3.5%;1,158.1 ;-7.6%;8,170;13426,
222;221;J.C. Penney;106;228;12547;-0.6%;1.0 ;0;9,314;1901,,
223;222;Farmers Insurance Exchange;13309;227;12513;-0.9%;-147.9 ;0;16,057;0,,
224;223;Reynolds American;5525;266;12503;17.1%;6,073.0 ;86.7%;51,095;89862,
225;224;Viacom;965;213;12488;-5.9%;1,438.0 ;-25.2%;22,508;18503,
226;225;Becton Dickinson;50928;278;12483;21.4%;976.0 ;40.4%;25,586;39041,,
227;226;Micron Technology;314;173;12399;-23.4%;-276.0 ;-109.5%;27,540;31972,,
228;227;Principal Financial;14854;236;12394;3.6%;1,316.5 ;6.7%;228,014;18143,
229;228;Arconic;415;126;12394;-45.0%;-941.0 ;0;20,038;11604,,
230;229;NRG Energy;8763;193;12351;-15.8%;-774.0 ;0;30,355;5911,,
231;230;VF;69;231;12207;-1.4%;1,074.1 ;-12.8%;9,739;22786,
232;231;Devon Energy;3545;216;12197;-7.2%;-3,302.0 ;0;25,913;21886,
233;232;D.R. Horton;6976;260;12157;12.3%;886.3 ;18.1%;11,559;12438,,
234;233;Bed Bath & Beyond;62;238;12104;1.9%;841.5 ;-12.1%;6,499;5931,,
235;234;Consolidated Edison;1496;229;12075;-3.8%;1,245.0 ;4.4%;48,255;23708,
236;235;Edison International;1239;246;11869;3.0%;1,311.0 ;28.5%;51,319;25938,
237;236;Sherwin-Williams;4255;253;11856;4.6%;1,132.7 ;7.5%;6,753;28891,
238;237;NGL Energy Partners;32;167;11742;-30.1%;-198.9 ;-633.2%;5,560;2686,,
239;238;Dominion Resources;162;243;11737;0.5%;2,123.0 ;11.8%;71,610;48732,
240;239;Ameriprise Financial;13195;232;11735;-3.8%;1,314.0 ;-15.9%;139,821;19953,
241;240;ADP;57;248;11668;1.7%;1,492.5 ;2.8%;43,670;45963,
242;241;Hilton Worldwide Holdings;169;254;11663;3.5%;348.0 ;-75.2%;26,211;19276,,
243;242;First Data;24;249;11584;1.2%;420.0 ;0;40,292;14224,,
244;243;Henry Schein;21;268;11572;8.9%;506.8 ;5.8%;6,730;13461,,
245;244;Toys ;64;240;11540;-2.2%;-36.0 ;0;6,908;0,,
246;245;BB&T Corp.;375;273;11538;11.5%;2,426.0 ;16.4%;219,276;36141,
247;246;Reinsurance Group of America;2371;271;11522;10.6%;701.4 ;39.7%;53,098;8169,,
248;247;Core-Mark Holding;7688;317;11507;29.9%;54.2 ;5.2%;1,497;1445,,
249;248;Biogen;74;263;11449;6.4%;3,702.8 ;4.4%;22,877;59046,
250;249;Las Vegas Sands;49;241;11410;-2.4%;1,670.0 ;-15.1%;20,469;45313,
251;250;Stanley Black & Decker;54023;256;11407;1.7%;965.3 ;9.2%;15,635;20280,,
252;251;Parker-Hannifin;4895;224;11361;-10.6%;806.8 ;-20.3%;12,057;21370,,
253;252;Stryker;33;287;11325;13.9%;1,647.0 ;14.5%;20,435;49115,
254;253;Estee Lauder;46;261;11262;4.5%;1,114.6 ;2.4%;9,223;31068,
255;254;Celgene;7132;305;11229;21.3%;1,999.2 ;24.8%;28,086;96802,
256;255;BlackRock;13;250;11155;-2.2%;3,172.0 ;-5.2%;220,177;62225,
257;256;Xcel Energy;11476;257;11107;0.7%;1,123.4 ;14.1%;41,155;22546,
258;257;CSX;26628;239;11069;-6.3%;1,714.0 ;-12.9%;35,414;43126,
259;258;Unum Group;94;265;11047;2.9%;931.4 ;7.4%;61,942;10749,,
260;259;Jacobs Engineering Group;4935;235;10964;-9.5%;210.5 ;-30.5%;7,360;6693,,
261;260;Lennar;8335;301;10950;15.6%;911.8 ;13.6%;15,362;12002,,
262;261;Group 1 Automotive;135;267;10888;2.4%;147.1 ;56.5%;4,462;1584,,
263;262;Leucadia National;13;242;10875;-6.9%;130.0 ;-54.2%;45,071;9355,,
264;263;Entergy;13513;247;10846;-5.8%;-583.6 ;0;45,904;13685,,
265;264;PayPal Holdings;181;307;10842;17.2%;1,401.0 ;14.1%;33,103;51650,
266;265;Applied Materials;1615;295;10825;12.1%;1,721.0 ;25.0%;14,588;42005,
267;266;Voya Financial;67;252;10782;-4.9%;-428.0 ;-204.8%;214,235;7191,,
268;267;MasterCard;119;294;10776;11.5%;4,059.0 ;6.6%;18,675;121234,
269;268;Priceline Group;185;308;10743;16.5%;2,135.0 ;-16.3%;19,839;87522,
270;269;Liberty Interactive;2108;284;10647;6.6%;1,235.0 ;42.1%;20,355;9101,
271;270;AutoZone;6678;280;10636;4.4%;1,241.0 ;7.0%;8,600;20540,
272;271;State Street Corp.;33783;264;10635;-1.2%;2,143.0 ;8.2%;242,698;30406,
273;272;DTE Energy;10;274;10630;2.8%;868.0 ;19.4%;32,041;18317,,
274;273;L-3 Communications;38;245;10597;-8.3%;710.0 ;0;11,865;12859,,
275;274;HollyFrontier;2676;214;10536;-20.4%;-260.5 ;-135.2%;9,436;5048,,
276;275;Praxair;26498;262;10534;-2.2%;1,500.0 ;-3.0%;19,332;33834,
277;276;Universal Health Services;70863;290;10508;7.4%;702.4 ;3.2%;10,318;12022,,
278;277;Discover Financial Services;15549;283;10497;4.9%;2,393.0 ;4.2%;92,308;26255,
279;278;Occidental Petroleum;11;225;10398;-18.1%;-574.0 ;0;43,109;48444,,
280;279;United States Steel;298;244;10261;-11.3%;-440.0 ;0;9,160;5893,,
